# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 536K of event 'cpu-clock'
# Event count (approx.): 5419363582170
#
# Children      Self  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                   
# ........  ........  ...............  ....................  .........................................................................................................................................................................................................................................................................................
#
     1.16%     0.19%  bwa-mem2.avx512  libc.so.6             [.] realloc
     1.13%     0.16%  bwa-mem2.avx512  bwa-mem2.avx512bw     [.] mem_sam_pe_batch_pre(mem_opt_t const*, bntseq_t const*, unsigned char const*, mem_pestat_t const*, unsigned long, bseq1_t*, mem_alnreg_v*, mem_cache*, long&, int&, int&, int&, int)
     1.06%     0.22%  bwa-mem2.avx512  libc.so.6             [.] cfree
     1.00%     0.27%  bwa-mem2.avx512  libc.so.6             [.] malloc
     1.00%     0.08%  bwa-mem2.avx512  bwa-mem2.avx512bw     [.] mem_gen_alt(mem_opt_t const*, bntseq_t const*, unsigned char const*, mem_alnreg_v const*, int, char const*)
     0.95%     0.01%  bwa-mem2.avx512  [kernel.kallsyms]     [k] __x64_sys_futex
     0.94%     0.00%  bwa-mem2.avx512  [kernel.kallsyms]     [k] do_futex
     0.76%     0.00%  bwa-mem2.avx512  libc.so.6             [.] 0x00007c9b482ad045
     0.72%     0.00%  bwa-mem2.avx512  [unknown]             [.] 0x00000000000f1b80
     0.67%     0.01%  bwa-mem2.avx512  bwa-mem2.avx512bw     [.] mem_reg2sam(mem_opt_t const*, bntseq_t const*, unsigned char const*, bseq1_t*, mem_alnreg_v*, int, mem_aln_t const*)
     0.65%     0.65%  bwa-mem2.avx512  bwa-mem2.avx512bw     [.] ks_combsort_mem_ars(unsigned long, mem_alnreg_t*)
     0.60%     0.54%  bwa-mem2.avx512  bwa-mem2.avx512bw     [.] mem_matesw_batch_pre(mem_opt_t const*, bntseq_t const*, unsigned char const*, mem_pestat_t const*, mem_alnreg_t const*, int, unsigned char const*, mem_alnreg_v*, mem_cache*, int, int, int&, int&, int)
     0.59%     0.16%  bwa-mem2.avx512  libc.so.6             [.] __libc_calloc
     0.57%     0.00%  bwa-mem2.avx512  libc.so.6             [.] 0x00007c9b482ac098
     0.57%     0.57%  bwa-mem2.avx512  libc.so.6             [.] 0x00000000000ac098
     0.56%     0.02%  bwa-mem2.avx512  libc.so.6             [.] __lll_lock_wake_private
     0.56%     0.04%  bwa-mem2.avx512  bwa-mem2.avx512bw     [.] mem_mark_primary_se(mem_opt_t const*, int, mem_alnreg_t*, long)
     0.52%     0.23%  bwa-mem2.avx512  bwa-mem2.avx512bw     [.] ks_introsort_mem_ars_hash(unsigned long, mem_alnreg_t*) [clone .part.0]
     0.50%     0.08%  bwa-mem2.avx512  [kernel.kallsyms]     [k] futex_wake
     0.47%     0.44%  bwa-mem2.avx512  bwa-mem2.avx512bw     [.] ks_introsort_128
     0.46%     0.02%  bwa-mem2.avx512  libc.so.6             [.] __lll_lock_wait_private
     0.44%     0.44%  bwa-mem2.avx512  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore
     0.43%     0.00%  bwa-mem2.avx512  [kernel.kallsyms]     [k] futex_wait
     0.42%     0.00%  bwa-mem2.avx512  [kernel.kallsyms]     [k] __futex_wait
     0.41%     0.00%  bwa-mem2.avx512  [unknown]             [k] 0x0000000000000020


#
# (Cannot load tips.txt file, please install perf!)
#
